Voter address,Supports,Stake,Block number,Transaction hash,Used Aragon client
0x698589dcc2ae6b2348c3416d13360f84b734178d,true,70,6705917,0x645bdfd58d7fedec333b9afd4be96d25542a2173047be9a8cfff2db63b316c40,true
0x00e5cdd4b7b3a78a4277749957553371cb6b2310,true,48240.000000003336,6705925,0x23afd318f9c20e3ffdb7c12fa586a14854514d9262de9444622eae3f44f81372,false
0x29e14a39d5aa343f3fbc1b5dbd5f86c09f243762,true,27.5558068,6705979,0x8632237700e48ab91eb8fa98166fb61cce485876a4ccf32b7cdd6f63e00ed2a3,false
0x974d012bfbf0ea561063c08fd39c68326b33f83b,true,15104.03369383,6706037,0xe89fe12e1ab2eb13399ad430fbf7fdd3fda27cc97f44abed15510e633c509a26,false
0xf0a3738f8766d074aa60ac263b07007686491234,true,265.90908402000003072,6706059,0xf79f83b005378f8c8b8de64173dec646cb0dfb74ce03954b9e37e12d23def745,false
0xfe9855b9571f7cfad1357e0e5163e2a285b27554,true,12641.08,6706106,0x9578d243e058673af95d7748f5d93a97240689f77ab6d39f381083bf3dcfb5d2,true
0x6e88ef9c75f0918c76ad4f4839caa329ca12363d,true,5157.29064607,6706498,0x27918353e9fc085d146399342c6a85664cf2f5ec719ddcc42b02a4c16543415a,true
0x6e88ef9c75f0918c76ad4f4839caa329ca12363d,true,5157.29064607,6706500,0xeb70e9ae4f71e8d20ae0b01a7cdbebf7b34ecb8a5e32036db6c1d176262763c6,true
0x5a36c5bb86b1d8037576fda54422e60823067063,true,594143.022386710000000001,6707148,0x9dab7cc6fb879700a1469713e5a6defe83e2378823cd8455b7d990ddcbce011b,true
0x450c0c90706a8cc664e8b496711370b43415715d,true,47548.26096634,6707680,0x3a2b27a038f7928eb26b9ac09c82aa11d23e17ecf2064bea5d1503d7133970d0,false
0x6694535bf83211af1f4274874fa932b9fb37d1b8,true,10000,6707881,0x4e16c12c1987c016ba648bd5304f6a56b4eec3cf0138b11f91e273cb29eef3e6,true
0x6694535bf83211af1f4274874fa932b9fb37d1b8,true,10000,6707886,0xfe57a43b3d8b5a9917bef7e0ce36dcf1d6485c3c87bda0ed9eb197c18b1fc0b3,true
0x007ab8fe04ad2863cb6881caa6744d522c532b71,true,1654.91788667,6707905,0xb620d8ebc4f1ad3490e056e2fe17ea0b4d6adc028214200ba58b6e9cf795c3d4,true
0xd395d4a9753310f3940de2673c70c251224e3d07,true,0.05363874,6707965,0x082f15eb5b592cdc2a8e04a208c9a0501fb887fdfc530c3d955871e5235d5b73,true
0x52ccabeebd9a77c2c8fbf03924f3f2870bcf6f1c,true,226.30031747,6708177,0x696d570e19caa437a905c7c52bb59406e7baea4db30419130e882a881ca7e510,true
0x580356c776bd73948b153cfc94a5d3a12c359bba,true,7474.256329928593036499,6708191,0x23681c915979941c8654c994d5ce0551345f6ca3fb3979b9ea2fbf771e3a53f4,true
0xc7b51a1637f86f130686eebd1aae67c051888351,true,24.1633327,6708499,0x579286291af9a27fd59275e80e0bb9dfcdde1de66376c6e188bc2b5d823ea7ae,true
0x9be70eae8d561e909cf7fd07da2042c2726fd0e4,true,295.59188811,6708557,0xcd1576ee8b52422871ebf55127231cb60490d205b0d217be5afa00411c889757,true
0x47e317b00862fa05ffc5d0c063dfcd45e9c5e456,true,2900.38,6708792,0x707f7ea97144e9ed227dc0e97309f9b1468d989ca22c10bf9143ba7ebc14480f,false
0x003dc32fe920a4aaeed12dc87e145f030aa753f3,true,114.01553139,6708853,0x635921671d5df45c67ab4b973996fb741ab105eca0961297639572a836cbf1a7,true
0xa4ae57a1b051ff0980bc9dc59c36cd65f0fa7a11,true,12500.006083407322847962,6709557,0x80052dc123f6816cabe908ad504939b40e8d1fc5666e3a37b6a6c7010664b6de,true
0xb3a4a3a7c292ce37dd23357a65686068ed5fc2cc,true,163047.85117009,6709619,0xc29c82a7a5858037ee3d21394d7cdfb7950fb91d8de64c999cf77795d78a1550,true
